Muhammed ,MacIntyre,chris@contoso.com,38.94,35,Nunavut,Storage & Organization,0.8
Barry ,French,ben@contoso.com,208.16,68.02,Nunavut,Appliances,0.58
Barry ,French,david@contoso.com,8.69,2.99,Nunavut,Binders and Binder Accessories,0.39
Clay ,Rozendal,cynthia@contoso.com,195.99,3.99,Nunavut,Telephones and Communication,0.58
Carlos ,Soltero,melissa@contoso.com,21.78,5.94,Nunavut,Appliances,0.5
Carlos ,Soltero,carl@contoso.com,6.64,4.95,Nunavut,Office Furnishings,0.37
Carl ,Jackson,jackson@contoso.com,7.3,7.72,Nunavut,Binders and Binder Accessories,0.38
Carl ,Jackson,john@contoso.com,42.76,6.22,Nunavut,Storage & Organization,
Monica ,Federle,kate@contoso.com,138.14,35,Nunavut,Storage & Organization,
Dorothy ,Badders,messa@contoso.com,4.98,8.33,Nunavut,Paper,0.38
